plant_id,pi_camera_id,image_path before harvest,image_path after harvest,total.shoot.fw.mg,shoot.pixel,height.pixel,solidity,genotype,specie,location,temperature_celsius,seeds_in_germination,treatment_started,biomas_harvested,height_base_to_tip_of_longest_culm_cm,height_base_to_top_collar_of_longest_culm_cm,panicle FW(g),stemFW(mg),leaf FW(mg),panicle DW(mg),stemDW(mg),leaf DW(mg),roots DW (mg)
157-007,157-003-002,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/157-003-002/10.9.1.73_pos-157-003-002_2019-01-22-10-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/157-003-002/10.9.1.73_pos-157-003-002_2019-01-22-11-05.jpg,1170,28021,552,0.2878051787,ME034V-1,setaria viridis,GCH157-top-tier,22,1/3/2019,1/11/2019,1/22/2019,9.4,9.4,0,580,590,0,57.5,71.7,26.8
157-009,157-003-002,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/157-003-002/10.9.1.73_pos-157-003-002_2019-01-29-10-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/157-003-002/10.9.1.73_pos-157-003-002_2019-01-29-11-05.jpg,1190.24,49488,899,0.1969017262,ME034V-1,setaria viridis,GCH157-top-tier,22,1/3/2019,1/11/2019,1/29/2019,22.3,15.9,0.24,740,450,46.5,87,65,35.6
157-010,157-003-002,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/157-003-002/10.9.1.73_pos-157-003-002_2019-01-15-10-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/157-003-002/10.9.1.73_pos-157-003-002_2019-01-15-11-05.jpg,64.3,4984,265,0.2473756049,ME034V-1,setaria viridis,GCH157-top-tier,22,1/3/2019,1/11/2019,1/15/2019,7.8,1.6,0,20.2,44.1,0,1.9,5.7,2.9
157-011,157-003-002,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/157-003-002/10.9.1.73_pos-157-003-002_2019-02-05-09-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/157-003-002/10.9.1.73_pos-157-003-002_2019-02-05-10-05.jpg,2470.97,104833,1470,0.09716237089,ME034V-1,setaria viridis,GCH157-top-tier,22,1/3/2019,1/11/2019,2/5/2019,34,18.8,0.97,1720,750,280.9,274.7,134.2,101.3
157-012,157-003-002,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/157-003-002/10.9.1.73_pos-157-003-002_2019-01-22-10-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/157-003-002/10.9.1.73_pos-157-003-002_2019-01-22-11-05.jpg,546.3347,29700,533,0.2464290604,ME034V-1,setaria viridis,GCH157-top-tier,22,1/3/2019,1/11/2019,1/22/2019,10.8,8.4,0.0347,261.3,285,6.1,26.2,34,12.7
157-019,157-003-004,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/157-003-004/10.9.1.75_pos-157-003-004_2019-02-12-11-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/157-003-004/10.9.1.75_pos-157-003-004_2019-02-12-12-05.jpg,2831.56,108899,913,0.2545990146,Les5,setaria viridis,GCH157-top-tier,22,1/3/2019,1/11/2019,2/12/2019,32.5,16.5,1.56,1970,860,583,285.2,134.3,79.5
157-020,157-003-004,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/157-003-004/10.9.1.75_pos-157-003-004_2019-01-22-10-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/157-003-004/10.9.1.75_pos-157-003-004_2019-01-22-11-05.jpg,590.046,20878,499,0.2410200465,Les5,setaria viridis,GCH157-top-tier,22,1/3/2019,1/11/2019,1/22/2019,11,9.7,0.046,260,330,6.2, ,40,17.5
157-021,157-003-004,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/157-003-004/10.9.1.75_pos-157-003-004_2019-02-05-10-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/157-003-004/10.9.1.75_pos-157-003-004_2019-02-05-11-05.jpg,1606.6,46906,987,0.1385098074,Les5,setaria viridis,GCH157-top-tier,22,1/3/2019,1/11/2019,2/5/2019,25.5,13,6.6,1100,500,192.5,174.1,92.7,75.7
157-023,157-003-004,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/157-003-004/10.9.1.75_pos-157-003-004_2019-02-19-13-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/157-003-004/10.9.1.75_pos-157-003-004_2019-02-20-14-05.jpg,3202.67,75522,913,0.2221163433,Les5,setaria viridis,GCH157-top-tier,22,1/3/2019,1/11/2019,2/19/2019,26,14.3,1.67,2180,1021,953,360.2,163.8,106.6
157-026,157-002-001,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/157-002-001/10.9.1.68_pos-157-002-001_2019-02-19-09-05.jpg,sftp://stargate.datasci.danforthcenter.org//shares/mgehan_share/raw_data/raw_image/gehan-sentinel-images/sentinel-me034-round2-3temps/157-002-001/10.9.1.68_pos-157-002-001_2019-02-19-10-05.jpg,2220.0061,46227,774,0.149590081,ME034V-1,setaria viridis,GCH157-mid-tier,22,1/3/2019,1/11/2019,2/19/2019,23.2,9.2,0.9061,1498.1,721,445.8,233.6,115.1,50.1
