"id","genus","species","scientificname"
1068,"Populus",NA,"Populus"
1069,"Populus","alba","Populus alba"
1070,"Populus","balsamifera","Populus balsamifera"
1071,"Populus","deltoides","Populus deltoides sub monilifera"
1072,"Populus","deltoides","Populus deltoides"
1073,"Populus","euramericana","Populus euramericana"
1076,"Populus","grandidentata","Populus grandidentata"
1077,"Populus","heterophylla","Populus heterophylla"
1078,"Populus","maximowiczii","Populus maximowiczii"
1079,"Populus","deltoides","Populus deltoides ssp. deltoides"
1080,"Populus","tremuloides","Populus tremuloides"
2068,"Populus","balsimifera ssp. trichocarpa","Populus balsamifera ssp. trichocarpa"
2579,"Populus","nigra","Populus nigra"
2808,"Populus","xcanadensis","Populus × canadensis"
2809,"Populus","fremontii","Populus fremontii"
2860,"Populus","deltoides × nigra","P. deltoides × P. nigra"
2861,"Populus","tremula × tremuloides","Populus tremula × tremuloides"
2862,"Populus","trichocarpa × deltoides","Populus trichocarpa × deltoides"
2863,"Populus","P. maximowiczii × P. trichocarpa","P. maximowiczii × P. trichocarpa"
2864,"Populus",NA,"Populus spp."
2866,"Populus","deltoides × trichocarpa","P. deltoides × P. trichocarpa"
2867,"Populus","trichocarpa × balsamifera","P. trichocarpa × P. balsamifera"
2868,"Populus","tristis","Populus tristis Fisch."
2873,"Populus","maximowiczii × nigra","Populus maximowiczii × P. nigra"
2874,"Populus","euramericana","Populus euramericana Guinier"
2875,"Populus","rasumowskyana","Populus × rasumowskyana"
2876,"Populus","tremula","P. tremula"
2877,"Populus","nigra × maximowiczii","Populus nigra × P. maximowiczii"
2879,"Populus","maximowiczii × berolinensis","P. maximowiczii × P. berolinensis"
2880,"Populus","balsamifera × tremula","P. balsamifera × P. tremula"
2881,"Populus","trichocarpa × koreana","p. trichocarpa × p. koreana"
2883,"Populus","tremuloides × tremula","Populus tremuloides × tremula"
2884,"Populus","tremuloides × tremuloides","Populus tremuloides × tremuloides"
2885,"Populus","trichocarpa × maximowiczii","P. trichocarpa × P. maximowiczii"
2886,"Populus","balsamifera × maximowiczii","P. balsamifera × P. maximowiczii"
2887,"Populus","maximowiczii × balsamifera","p. maximowiczii × p. balsamifera"
2952,"Populus","Populus maximowiczii Henry × trichocarpa","Populus maximowiczii Henry × trichocarpa"
2953,"Populus","balsamifera L. ssp. trichocarpa","Populus balsamifera L. ssp. trichocarpa"
2955,"Populus","trichocarpa ","Populus trichocarpa"
2956,"Populus","deltoides × petrowskyana","P. deltoides × P.petrowskyana"
2957,"Populus","balsamifera × simonii","P. balsamifera × P. simonii"
39315,"Populus",NA,"Populus ×acuminata"
39336,"Populus",NA,"Populus angustifolia"
39356,"Populus",NA,"Populus balsamifera ssp. balsamifera"
39377,"Populus",NA,"Populus ×berolinensis"
39387,"Populus",NA,"Populus ×brayshawii"
39408,"Populus",NA,"Populus ×canescens"
39467,"Populus",NA,"Populus fremontii ssp. fremontii"
39477,"Populus",NA,"Populus fremontii ssp. mesetae"
39497,"Populus",NA,"Populus ×heimburgeri"
39518,"Populus",NA,"Populus ×hinckleyana"
39529,"Populus",NA,"Populus ×inopina"
39540,"Populus",NA,"Populus ×jackii"
39581,"Populus",NA,"Populus ×petrowskiana"
39592,"Populus",NA,"Populus ×rouleauiana"
39603,"Populus",NA,"Populus simonii"
39614,"Populus",NA,"Populus ×smithii"
39625,"Populus",NA,"Populus tomentosa"
39636,"Populus",NA,"Populus tremula"
